# Complete Hindi
## Chapter 02
अध्यापक जी, यहाँ कितने विद्यार्थी हैं? (adhyāpak jī, yahā̃ kitne vidyārthī haĩ?);Teacher ji, how many students are here?
अभी चौदह हैं – नौ लड़कियाँ और पाँच लड़के। (abhī caudah haĩ – nau laṛkiyā̃ aur pā̃c laṛke.);At the moment there are 14 – nine girls and five boys.
यह किताब कैसी है? (yah kitāb kaisī hai?);What kind of book is this?
क्या यह अच्छी है? (kyā yah acchī hai?);Is it good?
हाँ, बुरी नहीं है। (hā̃, burī nahī̃ hai.);Yes, it's not bad.
लेकिन सस्ती नहीं है, काफ़ी महँगी है। (lekin sastī nahī̃ hai, kāfī mahãgī hai.);But it's not cheap, it's quite expensive.
क्या ये शब्दकोश भी महँगे हैं? (kyā ye śabdkoś bhī mahãge haĩ?);Are these dictionaries also expensive?
नहीं, बिलकुल नहीं। (nahī̃, bilkul nahī̃.);No, not at all.
बहुत सस्ते हैं। (bahut saste haĩ.);They're very cheap.
और वह मोटी किताब क्या है? (aur vah moṭī kitāb kyā hai?);And what is that thick book?
क्या वह भी शब्दकोश है? (kyā vah bhī śabdkoś hai?);Is it a dictionary too?
नहीं नहीं, वह शब्दकोश नहीं है, रामायण है! (nahī̃ nahī̃, vah śabdkoś nahī̃ hai, rāmāyaṇ hai!);No no, it's not a dictionary, it's the Ramayan!
हलो राज, क्या हाल है? (halo Rāj, kyā hāl hai?);Hello Raj, how're things?
सब ठीक है? (sab ṭhīk hai?);Everything OK?
हाँ, सब ठीक है। (hā̃, sab ṭhīk hai.);Yes, everything's OK.
और आप कैसे हैं? (aur āp kaise haĩ?);And how are you?
मैं भी अच्छा हूँ, शुक्रिया। (maĩ bhī acchā hū̃, śukriyā.);I'm well too, thank you.
ऋषि और संगीता कैसे हैं? (Ṛṣi aur Sangītā kaise haĩ?);How are Rishi and Sangeeta?
ऋषि अच्छा है, लेकिन संगीता अच्छी नहीं है। (Ṛṣi acchā hai, lekin Sangītā acchī nahī̃ hai.);Rishi is well, but Sangeeta isn't all right.
क्यों? (kyõ?);Why?
क्या बात है? (kyā bāt hai?);What's the matter?
क्या वह बीमार है? (kyā vah bīmār hai?);Is she ill?
नहीं, वह नाराज़ है क्योंकि आप यहाँ हैं! (nahī̃, vah nārāz hai kyõki āp yahā̃ haĩ!);No, she's in a huff because you're here!
यह बहुत बुरी बात है! (yah bahut burī bāt hai!);This is a very bad thing!
पर संगीता क्यों परेशान है? (par Sangītā kyõ pareśān hai?);But why is Sangeeta upset?
मालूम नहीं। (mālūm nahī̃.);I don't know.
लड़की है, न? (laṛkī hai, na?);She's a girl, isn't she?
