# Complete Hindi
## Chapter 07
दादी जी, बचपन में आप लोग कानपुर में रहते थे न? (dādī jī, bacpan mẽ āp log kānpur mẽ rahte the na?);Grandma, in your childhood you people used to live in Kanpur, didn't you?
मेरे पिताजी किसी कालेज में उर्दू पढ़ाते थे। (mere pitājī kisī kālej mẽ urdū paṛhāte the.);My father used to teach Urdu in some college.
माँ भी पढ़ाती थीं। (mā̃ bhī paṛhātī thī̃.);Mother used to teach too.
आपके घर में कोई अँग्रेज़ी बोलता था? (āpke ghar mẽ koī aṃgrezī boltā thā?);Did anyone speak English in your home?
हाँ, पिताजी को कोई पाँच भाषाएँ आती थीं। (hā̃, pitājī ko koī pā̃c bhāṣāẽ ātī thī̃.);Yes, Father knew about five languages.
पर हम लोग ज़्यादातर हिन्दी बोलते थे। (par ham log zyādātar hindī bolte the.);But we mostly spoke Hindi.
क्या आपके घर के नज़दीक कोई सिनेमा था? (kyā āpke ghar ke nazdīk koī sinemā thā?);Was there any cinema near your house?
हम लोग हर शनिवार को कुछ सहेलियों के साथ सिनेमा जाते थे। (ham log har śanivār ko kuch saheliyõ ke sāth sinemā jāte the.);We used to go to the cinema every Saturday with some friends.
अपनी सहेलियों के बारे में कुछ बताइए। (apnī saheliyõ ke bāre mẽ kuch batāie.);Tell me something about your friends.
एक मुसलमान डाक्टर की बेटी मेरी ख़ास सहेली थी। (ek musalmān ḍākṭar kī beṭī merī khās sahelī thī.);A Muslim doctor's daughter was my special friend.
वह मुझसे कुछ बड़ी थी। (vah mujhse kuch baṛī thī.);She was a bit older than me.
अच्छा दादी जी, मैं चलती हूँ। (acchā dādī jī, maĩ caltī hū̃.);OK Grandma, I'm off.
आपको कुछ चाहिए? (āpko kuch cāhie?);Do you need anything?
नहीं बेटी, तेरी बूढ़ी दादी को कुछ नहीं चाहिए। (nahī̃ beṭī, terī būṛhī dādī ko kuch nahī̃ cāhie.);No child, your old Grandma doesn't need anything.
तू जा, अपना काम कर। (tū jā, apnā kām kar.);Off you go, do your work.
मैं तुझे ख़त लिखता था। (maĩ tujhe khat likhtā thā.);I used to write you letters.
तू कभी कभी जवाब देती थी। (tū kabhī kabhī javāb detī thī.);You sometimes used to reply.
किताबें सस्ती होती थीं। (kitābẽ sastī hotī thī̃.);Books used to be cheap.
हम दोनों बहुत-सारी किताबें पढ़ते थे। (ham donõ bahut-sārī kitābẽ paṛhte the.);We both used to read lots of books.
रविवार को हम लंबी सैर करते। (ravivār ko ham lambī sair karte.);On Sundays we would take a long walk.
शाम को मैं अक्सर सिग्रेट पीता। (śām ko maĩ aksar sigreṭ pītā.);I would often smoke in the evening.
ज़मीन पर कोई पड़ा था। (zamīn par koī paṛā thā.);There was someone lying on the ground.
ज़मीन पर कुछ पड़ा था। (zamīn par kuch paṛā thā.);There was something lying on the ground.
घर में कोई नहीं है। (ghar mẽ koī nahī̃ hai.);There's nobody in the house.
घर में कुछ नहीं है। (ghar mẽ kuch nahī̃ hai.);There's nothing in the house.
यहाँ कोई गोश्त नहीं खाता है। (yahā̃ koī gośt nahī̃ khātā hai.);Nobody here eats meat.
डिब्बे में कोई अँग्रेज़ बैठा था। (ḍibbe mẽ koī aṃgrez baiṭhā thā.);There was some Englishman sitting in the compartment.
कोई अख़बार फ़र्श पर पड़ा था। (koī akhbār farś par paṛā thā.);Some newspaper was lying on the floor.
किसी से मत कहना कि मैं यहाँ खड़ा हूँ। (kisī se mat kahnā ki maĩ yahā̃ khaṛā hū̃.);Don't tell anyone that I'm standing here.
यह रोटी किसी बच्चे को दो। (yah roṭī kisī bacce ko do.);Give this bread to some child.
कुछ विदेशी अच्छी हिन्दी बोलते हैं। (kuch videśī acchī hindī bolte haĩ.);Some foreigners speak good Hindi.
कुछ अँग्रेज़ों को सिर्फ़ अँग्रेज़ी आती है। (kuch aṃgrezõ ko sirf aṃgrezī ātī hai.);Some English people only know English.
उसकी जेब में कुछ पैसा था। (uskī jeb mẽ kuch paisā thā.);There was some money in his pocket.
कुछ दाल-रोटी लीजिए न? (kuch dāl-roṭī lījie na?);Take some daal and roti, won't you?
यह कपड़ा कुछ मोटा है। (yah kapṛā kuch moṭā hai.);This cloth is rather coarse.
यह कुर्ता कुछ लंबा है। (yah kurtā kuch lambā hai.);This kurta is a bit long.
डिब्बे में कोई दस मोती पड़े थे। (ḍibbe mẽ koī das motī paṛe the.);There were about ten pearls lying in the box.
शहर में कोई आठ-नौ होटल हैं। (śahar mẽ koī āṭh-nau hoṭal haĩ.);There are about eight or nine hotels in the town.
दादी को नया चश्मा चाहिए। (dādī ko nayā caśmā cāhie.);Grandma needs new glasses.
आपको क्या चाहिए? (āpko kyā cāhie?);What do you want/need?
हमें रोटी चाहिए, चावल नहीं। (hamẽ roṭī cāhie, cāval nahī̃.);We want roti, not rice.
हमें दो साइकिलें चाहिए थीं। (hamẽ do sāikileṃ cāhie thī̃.);We needed two bicycles.
मुझे इसी रंग का कपड़ा चाहिए था। (mujhe isī raṃg kā kapṛā cāhie thā.);I needed cloth of this colour.
प्रकाश, इन सब कमरों में कौन कौन काम करता है? (Prakāś, in sab kamrõ mẽ kaun kaun kām kartā hai?);Prakash, who works in all these rooms?
पहले और दूसरे कमरों में दफ़्तर के बड़े बाबू काम करते हैं। (pahle aur dūsre kamrõ mẽ daftar ke baṛe bābū kām karte haĩ.);In the first and second rooms the senior clerks of the office work.
और यह तीसरा कमरा किसका है? (aur yah tīsrā kamrā kiskā hai?);And whose is this third room?
अभी तीसरे और चौथे कमरों में कोई नहीं है सर। (abhī tīsre aur cauthe kamrõ mẽ koī nahī̃ hai sar.);There's nobody in the third and fourth rooms yet sir.
तो आपका कमरा कौनसा है? (to āpkā kamrā kaunsā hai?);So which is your room?
पाँचवाँ? छठा? (pā̃cvā̃? chaṭhā?);The fifth? The sixth?
तीसरा कमरा ख़ाली है, उसे लेना। (tīsrā kamrā khālī hai, use lenā.);The third room's vacant – take it.
आपको और कोई चीज़ चाहिए? (āpko aur koī cīz cāhie?);Do you need anything else?
उस कमरे में नया पंखा चाहिए। (us kamre mẽ nayā pankhā cāhie.);A new fan is needed in that room.
बहुत ज़रूरी है – पुराना पंखा काम नहीं करता। (bahut zarūrī hai – purānā pankhā kām nahī̃ kartā.);It's very urgent – the old fan doesn't work.
गर्मी का मौसम मार्च से पहले नहीं शुरू होता। (garmī kā mausam mārc se pahle nahī̃ śurū hotā.);The hot weather doesn't start before March.
पंखा बाद में लेना। (pankhā bād mẽ lenā.);Get a fan later on.
हमारी क्लास नौ बजे शुरू होती है। (hamārī klās nau baje śurū hotī hai.);Our class begins at nine o'clock.
दरवाज़े रात को बंद होते हैं। (darvāze rāt ko band hote haĩ.);The doors are closed at night.
छुट्टियाँ अक्सर शनिवार को शुरू होती हैं। (chuṭṭiyā̃ aksar śanivār ko śurū hotī haĩ.);The holidays usually start on a Saturday.
