# Complete Hindi Chapter 03
कैसे हो प्रताप? (kaise ho Pratāp?);How are you Pratap?
तुम्हारी तबीयत ठीक है न? (tumhārī tabiyat ṭhīk hai na?);Your health is OK isn't it?
और वह मकान कैसा है? (aur vah makān kaisā hai?);And what's that house like?
बिलकुल ठीक हूँ माँ। (bilkul ṭhīk hū̃ mā̃.);I'm absolutely fine Mum.
और यह घर भी बुरा नहीं है। (aur yah ghar bhī burā nahī̃ hai.);And this house too isn't bad.
कुमार परिवार कितना बड़ा है? (Kumār parivār kitnā baṛā hai?);How big is the Kumar family?
सिर्फ़ पति-पत्नी हैं, या बच्चे भी हैं? (sirf pati-patnī haĩ, yā bacce bhī haĩ?);Is it just husband and wife or are there children too?
परिवार में कई लोग हैं। (parivār mẽ kaī log haĩ.);There are several people in the family.
अच्छा, काफ़ी बड़ा परिवार है! (acchā, kāfī baṛā parivār hai!);Oh it's quite a big family!
मकान में कितने कमरे हैं? (makān mẽ kitne kamre haĩ?);How many rooms are there in the house?
नौ बड़े कमरे हैं, और एक छोटा। (nau baṛe kamre haĩ, aur ek choṭā.);There are nine big rooms and one small.
सब कमरों में सामान नया है। (sab kamrõ mẽ sāmān nayā hai.);The furniture in all the rooms is new.
और तुम्हारा कमरा? (aur tumhārā kamrā?);And your room?
कमरे में पंखा वग़ैरह है न? (kamre mẽ pankhā vagairah hai na?);There's a fan etc. in the room isn't there?
हाँ, अब मेज़ पर नया पंखा है। (hā̃, ab mez par nayā pankhā hai.);Yes there's a new fan on the table now.
और फ़र्श पर नई दरी भी है। (aur farś par naī darī bhī hai.);And there's a new rug on the floor too.
घर ख़ाली है। (ghar khālī hai.);The house is vacant.
घर में सामान है। (ghar mẽ sāmān hai.);There is furniture in the house.
कमरा ख़ाली है। (kamrā khālī hai.);The room is vacant.
कमरे में सामान है। (kamre mẽ sāmān hai.);There is furniture in the room.
घरों में सामान है। (gharõ mẽ sāmān hai.);There is furniture in the houses.
कमरों में सामान है। (kamrõ mẽ sāmān hai.);There is furniture in the rooms.
मकान में कई कमरे हैं। (makān mẽ kaī kamre haĩ.);In the house there are several rooms.
दीवारों पर तस्वीरें हैं। (dīvārõ par tasvīrẽ haĩ.);There are pictures on the walls.
फ़र्श पर दरी है। (farś par darī hai.);There is a rug on the floor.
अलमारियों में क्या है? (almāriyõ mẽ kyā hai?);What's in the cupboards?
मेज़ पर क़लम है। (mez par qalam hai.);There is a pen on the table.
क़लम मेज़ पर है। (qalam mez par hai.);The pen is on the table.
